text,label
"Congratulations! You have won a $1000 Walmart gift card. Click here to claim your prize now before it expires.",phishing
"Your account has been suspended due to unusual activity. Verify your identity immediately by clicking this link.",phishing
"URGENT: Your PayPal account will be locked in 24 hours. Confirm your password now to avoid suspension.",phishing
"Dear customer, we detected a login attempt from a new device. Reset your password immediately using the link below.",phishing
"Your invoice #4521 is overdue. Click here to make a payment now to avoid late fees and account suspension.",phishing
"Security alert: someone tried to access your bank account. Verify your identity and confirm your OTP now.",phishing
"You have received a refund of $250. Click here and enter your card details to claim it.",phishing
"Final notice: your subscription will be cancelled. Login now and confirm your billing information immediately.",phishing
"Your Amazon account has been locked. Click this link and verify your account information to restore access.",phishing
"Claim your reward now! Limited time offer, click here and enter your bank details to receive $500.",phishing
"We noticed suspicious activity on your Microsoft account. Confirm your identity within 24 hours or lose access.",phishing
"Your package delivery failed. Click here and pay a small fee to reschedule your delivery immediately.",phishing
"Action required: your tax refund is pending. Login here and provide your social security number to claim it.",phishing
"Your email storage is full. Click here immediately and verify your account to avoid losing your emails.",phishing
"Alert! Unusual sign-in activity detected on your account. Click here to secure your account now.",phishing
"Dear user, your credit card has been charged $499. If this wasn't you, click here to dispute immediately.",phishing
"Your Netflix payment failed. Update your payment details now by clicking the link to avoid cancellation.",phishing
"Congratulations, you've been selected for a free iPhone! Claim your prize by entering your details here.",phishing
"Your Apple ID has been disabled for security reasons. Click here to verify and restore your account.",phishing
"Immediate action required: your bank account will be suspended today unless you confirm your details now.",phishing
"Hi team, please find attached the meeting notes from yesterday's project sync. Let me know if you have questions.",legitimate
"Your order #10293 has shipped and is expected to arrive on Friday. Track your package using the link in your account.",legitimate
"Reminder: the quarterly all-hands meeting is scheduled for Thursday at 3 PM in the main conference room.",legitimate
"Thanks for signing up for our newsletter. You'll receive updates about new blog posts every Monday.",legitimate
"Your monthly bank statement is now available to view in your online banking portal.",legitimate
"Hey, are we still on for lunch tomorrow? Let me know what time works for you.",legitimate
"The report you requested has been attached. Please review and share your feedback by end of week.",legitimate
"Your flight booking is confirmed for December 12th, departing at 9:45 AM from Terminal 2.",legitimate
"We've updated our privacy policy. You can read the full changes on our website whenever convenient.",legitimate
"Happy birthday! Wishing you a wonderful year ahead filled with success and happiness.",legitimate
"Your university semester grades have been posted. Log in to the student portal to view your results.",legitimate
"The invoice for last month's consulting work is attached for your records. No action needed at this time.",legitimate
"Just a reminder that the library books are due back next Tuesday.",legitimate
"Your subscription renewal was processed successfully. Thank you for continuing to be a valued customer.",legitimate
"Team, great job on the product launch this week. Let's debrief on Monday morning.",legitimate
"Your appointment with Dr. Smith is confirmed for next Wednesday at 10 AM.",legitimate
"Please review the attached contract draft and send over any revisions by Friday.",legitimate
"Weekly newsletter: here are this week's top stories from the technology world.",legitimate
"Your electricity bill for this month is now available to view online.",legitimate
"Thanks for attending our webinar. Here is the recording and slides for your reference.",legitimate
